name,population
California,"39,356,104"
90001,"57,652"
90002,"53,108"
90003,"75,024"
90004,"58,833"
90005,"37,754"
90006,"56,628"
90007,"41,004"
90008,"33,076"
90010,"4,185"
90011,"106,042"
90012,"38,430"
90013,"14,587"
90014,"9,273"
90015,"25,554"
90016,"47,309"
90017,"28,754"
90018,"49,898"
90019,"59,410"
90020,"38,400"
90021,"2,781"
90022,"64,147"
90023,"44,558"
90024,"50,392"
90025,"44,429"
90026,"64,769"
90027,"45,764"
90028,"30,982"
90029,"34,649"
90031,"37,457"
90032,"44,881"
90033,"47,655"
90034,"55,061"
90035,"26,595"
90036,"37,713"
90037,"69,064"
90038,"27,979"
90039,"28,244"
90040,"11,839"
90041,"28,321"
90042,"59,151"
90043,"44,461"
90044,"98,990"
90045,"41,123"
90046,"48,170"
90047,"52,200"
90048,"20,411"
90049,"35,819"
90052,0
90056,"8,225"
90057,"47,142"
90058,"3,049"
90059,"39,471"
90061,"28,646"
90062,"33,528"
90063,"52,008"
90064,"25,956"
90065,"44,897"
90066,"54,142"
90067,"2,653"
90068,"21,064"
90069,"20,045"
90071,313
90073,"1,014"
90077,"7,868"
90079,0
90089,"4,164"
90094,"11,891"
90095,0
90201,"95,134"
90210,"19,180"
90211,"9,208"
90212,"10,881"
90220,"49,101"
90221,"52,119"
90222,"33,021"
90230,"32,005"
90232,"16,352"
90240,"26,026"
90241,"45,341"
90242,"41,685"
90245,"17,081"
90247,"47,682"
90248,"11,453"
90249,"25,929"
90250,"96,200"
90254,"19,551"
90255,"71,654"
90260,"33,282"
90262,"66,073"
90263,"1,803"
90265,"16,652"
90266,"35,123"
90270,"24,950"
90272,"21,298"
90274,"24,942"
90275,"41,941"
90277,"36,339"
90278,"42,536"
90280,"92,262"
90290,"5,300"
90291,"25,656"
90292,"24,481"
90293,"13,039"
90301,"37,341"
90302,"29,307"
90303,"23,370"
90304,"25,725"
90305,"14,679"
90401,"7,480"
90402,"11,816"
90403,"24,092"
90404,"23,975"
90405,"26,981"
90501,"42,536"
90502,"18,430"
90503,"44,280"
90504,"32,965"
90505,"36,214"
90506,0
90601,"30,667"
90602,"25,949"
90603,"20,883"
90604,"39,795"
90605,"41,427"
90606,"31,717"
90620,"47,042"
90621,"36,151"
90623,"15,419"
90630,"50,170"
90631,"69,064"
90638,"46,170"
90639,"1,833"
90640,"62,294"
90650,"101,983"
90660,"61,561"
90670,"17,556"
90680,"31,102"
90701,"16,237"
90703,"49,334"
90704,"3,822"
90706,"78,352"
90710,"27,517"
90712,"31,552"
90713,"28,439"
90715,"20,949"
90716,"13,941"
90717,"21,788"
90720,"23,673"
90723,"53,286"
90731,"63,431"
90732,"22,078"
90740,"24,604"
90742,469
90743,434
90744,"54,277"
90745,"58,735"
90746,"27,643"
90747,25
90755,"11,764"
90802,"40,012"
90803,"31,659"
90804,"37,299"
90805,"96,515"
90806,"40,688"
90807,"33,153"
90808,"39,698"
90810,"36,306"
90813,"53,647"
90814,"20,723"
90815,"42,759"
90822,125
90831,0
90840,0
91001,"36,420"
91006,"31,986"
91007,"33,367"
91008,744
91010,"26,825"
91011,"20,389"
91016,"41,822"
91020,"7,509"
91024,"11,151"
91030,"26,583"
91040,"20,911"
91042,"27,119"
91046,141
91101,"19,737"
91103,"27,167"
91104,"35,918"
91105,"12,692"
91106,"23,813"
91107,"32,581"
91108,"12,559"
91125,996
91201,"22,163"
91202,"22,831"
91203,"16,679"
91204,"18,445"
91205,"35,755"
91206,"32,294"
91207,"11,091"
91208,"15,377"
91210,310
